Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
8.177938246298785,10.03030170888792,7.5325701784454955,4.938620844693808,17.496655051240204,5.128266030689703,7.102956641455143,1.4278849795191628,4.510571167004709,8.172682932816084,5.075162423497416,9.552932902841592,3.6727179419173215,2.4762872566589196,4.80955039292309,9.338578658895209
7.016094596769553,9.482364134502541,7.232359048145131,4.583040143875853,18.525870054254334,4.588448553774998,6.673918991971275,1.4278849795191628,4.373129940309275,8.356777497173033,4.294368204497814,8.841544282417217,3.9931564200711818,2.2928585709804814,4.8782582556791345,8.489616962632008
5.989349046022789,8.995308512826648,7.423402494699908,4.622549110633404,20.58430006028259,4.642430301466468,6.737480125228145,1.3658030238878949,4.385624597281588,7.692921340855549,3.8307716369667997,6.504124529594275,3.8206126241421803,2.3845729138197003,5.1187357753252885,8.44245242395072
6.3586171826948705,9.307328520462768,7.641737862191082,5.17567464523911,22.789760781027155,4.80437554454088,6.594467575400189,1.3658030238878949,5.372702498094252,8.077846339056443,3.879571275654275,5.58948201762008,4.190349329704326,2.7514302851765775,5.9775840597758405,8.772604194719742
6.953048817337733,8.73656021381133,7.341526731890718,4.662058077390954,24.99522150177172,4.318539815317645,7.245969191283099,1.4899669351504308,5.210271957454194,8.083424962218775,3.635573082216899,5.284601180295349,4.017805533775325,2.659715942337358,6.939494138360459,8.86693327208232
6.844970338311758,8.759390946077389,6.7683963922263874,4.662058077390954,24.260067928190196,4.588448553774998,7.055285791512492,1.6141308464129667,5.36020784112194,8.34562025084837,4.172369107779126,5.081347288745527,4.486138694154044,2.6138587709177488,5.874522265641774,10.18754035515841
6.971061897175396,9.117072418245622,5.403800345406551,4.148441509542798,22.20163792216194,4.480485058392056,7.023505224884056,1.4278849795191628,4.6979910215893925,8.56318655417931,4.513966578591452,4.166704776771333,5.151664764165908,2.568001599498139,5.46227508910551,9.197085042851342
6.700865699610459,9.086631441890878,4.639626559187443,2.844645606543633,23.524914354608676,3.9946493291688214,6.4673453088864505,1.4278849795191628,3.8108703765552256,8.451614090932674,3.9039710949980124,3.556943102121869,4.0424546474794685,1.7884296853647754,4.397303216386825,8.678275117357163
6.890003037905915,8.485422158884699,4.257539666077888,1.975448337877523,19.702115771984765,3.076959618413822,6.149539642602104,1.4278849795191628,3.8733436614167864,7.782179311452858,3.7087725402481118,3.0488083732473164,4.2149984434084695,1.6967153425255561,4.225533559496715,8.01797157581912
6.529741441152664,7.777669458636916,4.2029558242050955,2.1729931716652753,19.11399291311955,2.537142141499116,5.561599159976063,1.117475201362823,3.6984184638044155,7.268945980518333,3.6111732628731614,2.947181427472406,4.067103761183612,1.6508581711059465,3.2636234809120968,7.263338956918496
5.602067829513045,7.777669458636916,4.939837689487807,1.9359393711199726,18.08477791010542,2.429178646116175,5.116671227177978,1.4899669351504308,2.836287132714873,6.616247070525512,3.879571275654275,2.947181427472406,3.5987706008048925,1.6508581711059465,2.8170223729978097,7.263338956918496
4.962603495276025,7.587413356419771,5.021713452296997,1.8174124708473212,17.937747195389115,2.429178646116175,5.275574060320151,1.3658030238878949,3.2736001267458,6.800341634882462,3.1963763340296225,3.353689210572048,3.6480688282131783,1.467429485427508,2.2673594709494567,6.461541799336584
4.944590415438363,7.473259695089483,5.1035892151061875,1.7779035040897706,17.202593621807594,2.699087384573528,5.355025476891238,1.4278849795191628,3.298589440690425,6.649718809499503,3.806371817623062,3.353689210572048,3.6973670556214646,1.467429485427508,1.6489887061450594,6.791693570105607
4.350158780795499,7.009034805679647,5.212756898851774,1.6593766038171194,19.555085057268464,2.429178646116175,5.339135193577021,1.241639112625359,3.1111695861057416,6.220164825999954,4.147969288435388,3.4553161563469588,3.4262268048758906,1.4215723140078984,1.477219049254949,5.801238257798539
