id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postcode,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,True,after 2015,False,True,10238,12000.0,sedan,0,0,0,False
750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,False,before 2015,False,False,10238,16000.0,sedan,0,0,0,True
199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,True,before 2015,False,False,10238,11000.0,sedan,0,0,0,False
478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,True,before 2015,False,True,32765,11000.0,sedan,0,0,0,False
731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,True,before 2015,False,False,32765,12000.0,sedan,2,0,1,True
877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,True,after 2015,False,True,10238,13000.0,sedan,3,0,3,False
930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,False,after 2015,True,True,10238,13000.0,sedan,7,0,3,False
461006,26-39,female,majority,0-9y,university,working class,0.4686892974344649,False,after 2015,False,True,10238,14000.0,sedan,0,0,0,True
68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,False,before 2015,True,False,10238,13000.0,sedan,0,0,0,False
445911,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,True,before 2015,False,True,32765,11000.0,sedan,0,0,0,True
275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,True,after 2015,True,True,10238,10000.0,sedan,6,2,7,False
521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,True,after 2015,True,False,32765,12000.0,sedan,4,0,0,False
429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,True,before 2015,True,True,10238,8000.0,sedan,4,1,2,False
569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,True,before 2015,False,True,10238,,sedan,0,0,0,False
980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,True,before 2015,True,True,10238,12000.0,sedan,0,2,1,False
906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,False,after 2015,True,False,10238,,sedan,0,0,0,False
517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,True,before 2015,True,True,32765,,sedan,10,2,1,False
24851,16-25,male,majority,0-9y,none,poverty,,False,before 2015,True,False,32765,12000.0,sedan,0,0,0,True
104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,True,before 2015,False,True,32765,,sedan,0,0,0,True
